,ionosphere,steelplates,banknotes
DecisionTreeClassifier,0.11636363636363636,0.0,0.02338192419825074
KNeighborsClassifier,0.15181818181818182,0.017734294541709536,0.0015160349854227851
LogisticRegression,0.12534090909090911,0.0005355303810505219,0.014868804664723023
MLPClassifier,0.09977272727272729,0.001132852729145275,0.0007871720116618052
RandomForestClassifier,0.06852272727272728,0.014850669412976292,0.008279883381924185
SVC,0.06568181818181819,0.0,0.0014868804664722912
