Option,Score,Trial
linear,0.8693181818181818,36
poly,0.7727272727272727,36
rbf,0.9545454545454546,36
sigmoid,0.8579545454545454,36
linear,0.8579545454545454,37
poly,0.6875,37
rbf,0.9034090909090909,37
sigmoid,0.8863636363636364,37
linear,0.8522727272727273,38
poly,0.6761363636363636,38
rbf,0.9261363636363636,38
sigmoid,0.8522727272727273,38
linear,0.8579545454545454,39
poly,0.6931818181818182,39
rbf,0.9431818181818182,39
sigmoid,0.8579545454545454,39
linear,0.875,40
poly,0.7556818181818182,40
rbf,0.9488636363636364,40
sigmoid,0.8806818181818182,40
linear,0.8636363636363636,41
poly,0.7670454545454546,41
rbf,0.9204545454545454,41
sigmoid,0.8409090909090909,41
linear,0.8238636363636364,42
poly,0.7329545454545454,42
rbf,0.9034090909090909,42
sigmoid,0.8579545454545454,42
linear,0.9147727272727273,43
poly,0.7329545454545454,43
rbf,0.9715909090909091,43
sigmoid,0.8352272727272727,43
linear,0.8863636363636364,44
poly,0.7102272727272727,44
rbf,0.9375,44
sigmoid,0.8920454545454546,44
linear,0.8920454545454546,45
poly,0.6931818181818182,45
rbf,0.9318181818181818,45
sigmoid,0.8295454545454546,45
linear,0.8977272727272727,46
poly,0.6818181818181818,46
rbf,0.9090909090909091,46
sigmoid,0.8465909090909091,46
linear,0.875,47
poly,0.7329545454545454,47
rbf,0.9488636363636364,47
sigmoid,0.8409090909090909,47
linear,0.8636363636363636,48
poly,0.6818181818181818,48
rbf,0.9375,48
sigmoid,0.8465909090909091,48
linear,0.8579545454545454,49
poly,0.6988636363636364,49
rbf,0.9318181818181818,49
sigmoid,0.8522727272727273,49
